Name;Kills;Deaths;Kill / Death;Kill / Round;Rounds with kills;Kill - Death difference;Total opening kills;Total opening deaths;Opening kill ratio;Opening kill rating;Team win percent after first kill;First kill in won rounds;0 kill rounds;1 kill rounds;2 kill rounds;3 kill rounds;4 kill rounds;5 kill rounds;Rifle kills;Sniper kills;SMG kills;Pistol kills;Grenade;Other;Role;Team
Boombl4;2903;3151;0.92;0.63;2002;-248;485;622;0.78;0.97;0.74;0.147;2576;1300;536;138;23;5;2051;91;319;404;27;28;IGL;1WIN
br0;5589;5463;1.02;0.67;3829;126;713;779;0.92;0.94;0.728;0.11900000000000001;4484;2473;1017;280;53;6;4101;194;400;825;86;31;Rifler;Monte
brnz4n;4535;4267;1.06;0.7;3003;268;924;847;1.09;1.16;0.735;0.191;3478;1857;824;264;52;6;3469;147;233;619;72;10;Rifler;MIBR
broky;2980;2455;1.21;0.73;2054;525;353;202;1.75;1.02;0.737;0.121;2034;1337;537;155;21;4;963;1433;47;492;41;19;AWP;FaZe
Brollan;2636;2857;0.92;0.63;1803;-221;578;576;1.0;1.13;0.725;0.201;2365;1173;457;145;26;2;2087;10;97;407;37;10;Entry;Ninjas in Pyjamas
buda;2247;2629;0.85;0.56;1618;-382;277;374;0.74;0.86;0.715;0.094;2415;1114;398;90;13;3;1757;12;137;318;31;7;Entry;9z
Buzz;3625;3705;0.98;0.65;2493;-80;559;636;0.88;0.98;0.7190000000000001;0.139;3076;1641;617;193;39;3;2849;17;148;591;26;12;Entry;Astralis
CacaNito;3392;3309;1.03;0.71;2262;83;545;555;0.98;1.05;0.703;0.165;2495;1432;580;203;44;3;2726;25;119;485;42;21;Rifler;Apeks
cadiaN;2815;2481;1.13;0.66;1952;334;483;358;1.35;1.09;0.7659999999999999;0.161;2297;1285;498;146;19;4;794;1364;137;459;60;18;IGL;Heroic
Calyx;3035;2808;1.08;0.67;2093;227;374;333;1.12;0.96;0.703;0.10800000000000001;2467;1365;539;166;21;2;2383;23;114;465;52;14;Support;Eternal Fire
chelo;2080;2099;0.99;0.65;1410;-19;377;382;0.99;1.06;0.748;0.166;1800;913;353;117;25;2;1627;51;77;311;17;12;Entry;FURIA
chopper;2259;2326;0.97;0.62;1597;-67;286;379;0.75;0.88;0.696;0.10300000000000001;2060;1066;413;107;9;2;1692;20;178;337;29;13;IGL;Spirit
coldzera;2808;2824;0.99;0.66;1905;-16;372;427;0.87;0.94;0.7340000000000001;0.125;2357;1220;505;145;32;3;2193;64;62;477;11;22;Lurker;Legacy
D7;558;535;1.04;0.73;371;23;88;92;0.96;1.04;0.682;0.155;389;231;101;32;6;1;418;18;43;74;6;3;Rifler;BIG EQUIPA
danistzz;1474;1365;1.08;0.73;984;109;229;191;1.2;1.08;0.6990000000000001;0.151;1039;612;276;76;18;2;995;150;84;233;11;12;Rifler;BetBoom
deko;4544;3346;1.36;0.79;3018;1198;559;330;1.69;1.06;0.7390000000000001;0.135;2759;1839;891;234;49;5;1800;1822;164;699;60;16;AWP;1WIN
DemQQ;6024;5906;1.02;0.64;4220;118;851;865;0.98;0.97;0.725;0.122;5130;2822;1052;289;54;3;4630;69;315;947;60;33;Rifler;Monte
device;3297;2508;1.31;0.78;2179;789;619;328;1.89;1.27;0.706;0.195;2049;1353;584;194;46;2;1007;1630;71;561;25;22;AWP;Astralis
dexter;1688;2068;0.82;0.58;1205;-380;285;332;0.86;0.97;0.737;0.14400000000000002;1690;825;290;80;7;3;1259;27;134;238;27;9;IGL;fnatic
dgt;2968;2401;1.24;0.74;2003;567;383;253;1.51;1.04;0.76;0.138;2030;1269;541;159;30;4;2480;11;71;351;58;10;Lurker;9z
donk;4782;3850;1.24;0.84;3028;932;869;627;1.39;1.24;0.728;0.204;2683;1780;848;303;88;9;3874;56;31;779;43;9;Rifler;Spirit
drop;2301;2444;0.94;0.59;1622;-143;304;358;0.85;0.9;0.6940000000000001;0.106;2277;1074;434;99;13;2;1820;14;91;336;44;15;Rifler;MIBR
dycha;3045;2908;1.05;0.68;2017;137;411;414;0.99;0.97;0.72;0.126;2447;1253;547;174;39;4;2337;19;154;485;46;18;Rifler;ENCE
electroNic;2506;2553;0.98;0.68;1677;-47;458;540;0.85;1.05;0.723;0.177;1994;1050;462;134;25;6;1953;8;172;347;29;9;Entry;Cloud9
EliGE;2907;2739;1.06;0.7;2008;168;481;468;1.03;1.06;0.711;0.16;2139;1321;509;150;22;6;2324;49;70;433;33;11;Rifler;Complexity
EmiliaQAQ;1478;1554;0.95;0.63;1018;-76;217;252;0.86;0.95;0.7;0.124;1346;679;241;78;17;3;1119;15;86;233;16;15;Rifler;Lynn Vision
exit;4283;3522;1.22;0.66;2993;761;420;358;1.17;0.9;0.731;0.087;3488;1988;770;193;34;8;3438;10;150;578;116;42;IGL;MIBR
FalleN;2142;1909;1.12;0.66;1464;233;321;227;1.41;1.05;0.701;0.131;1762;935;405;101;21;2;449;1331;51;287;26;12;AWP;FURIA
fame;2042;1846;1.11;0.67;1396;196;341;292;1.17;1.07;0.757;0.161;1632;924;329;116;23;4;1689;17;47;264;28;9;Rifler;Virtus.pro
FaNg;1922;1967;0.98;0.65;1335;-45;284;282;1.01;0.99;0.746;0.14400000000000002;1620;886;331;99;18;1;1502;48;85;270;19;13;Entry;Complexity
FL1T;2102;1901;1.11;0.69;1436;201;400;379;1.06;1.12;0.722;0.18;1592;933;365;116;19;3;1700;17;99;256;35;9;Lurker;Virtus.pro
flameZ;3068;2984;1.03;0.68;2092;84;534;530;1.01;1.06;0.7020000000000001;0.162;2419;1351;535;179;25;2;2390;11;166;450;45;20;Entry;Vitality
floppy;2726;2752;0.99;0.63;1884;-26;332;383;0.87;0.9;0.735;0.111;2454;1230;496;131;24;3;2162;8;96;435;26;7;Rifler;Complexity
Forester;3647;3459;1.05;0.69;2528;188;603;559;1.08;1.06;0.779;0.16699999999999998;2788;1655;679;148;40;6;2987;3;96;516;47;10;Rifler;1WIN
frozen;2443;1845;1.32;0.74;1602;598;291;218;1.33;1.0;0.777;0.129;1693;969;461;142;24;6;1999;10;29;367;42;13;Rifler;MOUZ
Goofy;5427;5246;1.03;0.68;3719;181;664;707;0.94;0.93;0.745;0.11599999999999999;4320;2404;992;259;58;6;4115;25;290;939;63;18;Rifler;9INE
Grim;3135;2968;1.06;0.72;2051;167;487;536;0.91;1.02;0.715;0.157;2328;1257;554;193;44;3;2489;36;93;491;32;4;Entry;Complexity
hades;5758;4734;1.22;0.73;3919;1024;934;542;1.72;1.15;0.758;0.17300000000000001;3923;2532;1014;300;67;6;1755;3034;72;866;34;19;AWP;9INE
hallzerk;2729;2423;1.13;0.68;1842;306;399;287;1.39;1.05;0.7290000000000001;0.142;2157;1183;473;147;36;3;863;1305;67;460;25;27;AWP;Complexity
hampus;1066;1208;0.88;0.6;744;-142;139;199;0.7;0.87;0.748;0.122;1031;492;190;55;6;1;849;12;31;156;19;4;IGL;Ninjas in Pyjamas
headtr1ck;2821;2276;1.24;0.7;1932;545;355;209;1.7;1.02;0.755;0.133;2074;1255;494;156;25;2;897;1400;56;440;29;8;AWP;Ninjas in Pyjamas
HEAP;804;859;0.94;0.63;564;-55;104;114;0.91;0.93;0.6729999999999999;0.11599999999999999;710;381;135;39;9;0;620;16;12;146;11;6;Lurker;EYEBALLERS
HexT;3220;3268;0.99;0.65;2196;-48;446;498;0.9;0.95;0.7240000000000001;0.129;2728;1402;602;157;32;3;2473;18;214;475;44;19;Entry;Evil Geniuses
HObbit;2985;2916;1.02;0.67;2069;69;547;503;1.09;1.09;0.737;0.17;2409;1355;538;152;22;2;2265;26;247;401;51;17;IGL;Cloud9
HooXi;1954;2560;0.76;0.52;1431;-606;299;504;0.59;0.84;0.7959999999999999;0.114;2356;1016;321;80;14;0;1291;77;260;289;36;15;IGL;G2
HUASOPEEK;705;724;0.97;0.69;477;-19;103;101;1.02;1.0;0.728;0.158;550;306;123;40;7;1;515;29;33;118;11;0;Support;9z
huNter-;2694;2442;1.1;0.71;1839;252;359;320;1.12;1.0;0.747;0.128;1948;1201;459;146;28;5;2012;9;227;398;47;10;Lurker;G2
iM;3709;3426;1.08;0.73;2450;283;637;578;1.1;1.1;0.711;0.17;2642;1500;697;202;46;5;3006;35;92;530;35;23;Entry;Natus Vincere
INS;2037;1851;1.1;0.73;1338;186;328;301;1.09;1.08;0.735;0.16899999999999998;1441;818;367;129;22;2;1522;58;91;318;51;10;IGL;Grayhound
insani;4144;3554;1.17;0.76;2714;590;707;606;1.17;1.13;0.73;0.175;2774;1646;768;241;56;3;3257;28;175;650;39;16;Rifler;MIBR
isak;2816;2985;0.94;0.61;1989;-169;358;352;1.02;0.93;0.723;0.11;2614;1358;468;132;29;2;2141;26;102;488;55;15;Support;GamerLegion
jabbi;2907;2708;1.07;0.69;1966;199;442;422;1.05;1.02;0.738;0.14300000000000002;2261;1245;529;168;20;4;2232;16;165;461;34;11;Lurker;Heroic
Jame;2096;1496;1.4;0.69;1432;600;347;163;2.13;1.15;0.7290000000000001;0.158;1596;922;385;98;25;2;437;1296;66;269;27;12;AWP;Virtus.pro
JamYoung;2471;2136;1.16;0.73;1658;335;306;307;1.0;0.97;0.716;0.121;1734;1041;449;140;28;0;1935;34;114;362;27;10;Rifler;TYLOO
JDC;1982;1948;1.02;0.66;1350;34;230;257;0.89;0.91;0.691;0.10400000000000001;1663;863;360;110;16;1;1581;20;56;318;8;9;Support;00NATION
Jee;1534;1313;1.17;0.67;1082;221;216;103;2.1;1.06;0.759;0.134;1220;723;278;70;10;1;483;772;29;241;13;9;AWP;Lynn Vision
JennyR;474;500;0.95;0.62;324;-26;60;65;0.92;0.92;0.75;0.11599999999999999;436;207;91;20;5;1;373;2;18;69;12;2;Rifler;BIG EQUIPA
Jeorge;3510;3389;1.04;0.67;2377;121;530;516;1.03;1.01;0.7340000000000001;0.139;2868;1520;631;181;40;5;2689;21;186;567;55;20;Rifler;Evil Geniuses
Jimpphat;5212;4129;1.26;0.75;3437;1083;519;420;1.24;0.94;0.763;0.107;3489;2081;1005;286;62;3;4234;17;112;783;74;14;Rifler;MOUZ
jkaem;5539;5296;1.05;0.74;3641;243;1060;1032;1.03;1.15;0.763;0.205;3825;2248;961;362;67;3;4540;6;150;767;81;18;Entry;Apeks
jks;2446;2263;1.08;0.65;1706;183;273;253;1.08;0.92;0.7290000000000001;0.095;2081;1140;423;115;25;3;1913;10;128;363;33;12;Support;G2
jL;5288;4902;1.08;0.74;3531;386;804;776;1.04;1.05;0.738;0.155;3642;2208;948;321;49;5;4183;136;142;755;55;49;Lurker;Natus Vincere
JT;2464;2971;0.83;0.57;1768;-507;437;493;0.89;0.98;0.7120000000000001;0.141;2570;1225;406;123;12;2;1923;12;123;376;29;16;IGL;Complexity
junior;3119;2219;1.41;0.76;2114;900;485;237;2.05;1.16;0.7709999999999999;0.174;1969;1342;574;166;29;3;541;1999;66;475;42;16;AWP;Evil Geniuses
JUST;2833;2959;0.96;0.63;1984;-126;385;412;0.93;0.94;0.7090000000000001;0.12;2503;1329;491;139;20;5;2154;19;125;484;51;14;Support;Movistar Riders
JW;5367;5491;0.98;0.67;3689;-124;1008;907;1.11;1.11;0.7190000000000001;0.184;4291;2414;924;300;50;1;1914;2184;311;848;89;70;AWP;EYEBALLERS
k0nfig;2492;2572;0.97;0.67;1686;-80;415;469;0.88;1.02;0.742;0.165;2017;1084;434;138;24;6;1906;50;74;441;21;8;Entry;Ninjas in Pyjamas
KaiR0N-;2667;2556;1.04;0.75;1780;111;480;447;1.07;1.13;0.733;0.191;1766;1117;481;145;32;5;2184;28;66;375;14;11;Rifler;BetBoom
karrigan;2166;2842;0.76;0.53;1590;-676;402;606;0.66;0.91;0.726;0.136;2494;1128;364;82;16;0;1600;28;211;299;31;11;IGL;FaZe
kaze;2228;1905;1.17;0.66;1552;323;306;200;1.53;1.02;0.748;0.127;1840;1025;395;117;13;2;660;1148;40;362;17;18;AWP;TYLOO
KEi;5910;5599;1.06;0.74;3921;311;1035;1037;1.0;1.1;0.728;0.177;4118;2438;1048;369;61;5;4762;56;295;739;58;17;Entry;9INE
Keoz;2799;3197;0.88;0.61;1941;-398;437;543;0.8;0.95;0.693;0.13;2612;1281;489;147;21;3;2085;83;170;414;50;13;Rifler;GamerLegion
kRaSnaL;6159;6292;0.98;0.66;4243;-133;824;876;0.94;0.95;0.7490000000000001;0.122;5096;2747;1132;317;38;9;4698;80;423;883;87;20;Rifler;Monte
Krimbo;4926;4135;1.19;0.7;3353;791;594;440;1.35;0.98;0.7240000000000001;0.11900000000000001;3699;2158;881;255;54;5;3702;245;130;763;73;39;Lurker;BIG
KRIMZ;2197;2191;1.0;0.65;1500;6;266;282;0.94;0.92;0.737;0.11599999999999999;1904;976;381;115;26;2;1679;22;99;370;24;22;Support;fnatic
KSCERATO;2124;1651;1.29;0.73;1414;473;298;174;1.71;1.08;0.775;0.155;1480;884;376;132;18;4;1716;34;69;264;43;17;Rifler;FURIA
Kylar;5474;5112;1.07;0.68;3736;362;722;717;1.01;0.97;0.7290000000000001;0.124;4303;2403;991;282;57;3;4224;74;176;906;85;37;Rifler;9INE
kyxsan;4733;4990;0.95;0.64;3293;-257;654;734;0.89;0.94;0.6970000000000001;0.11699999999999999;4114;2183;836;223;46;5;3496;28;432;683;83;32;IGL;Apeks
Liazz;1756;1686;1.04;0.66;1209;70;210;183;1.15;0.95;0.71;0.109;1440;788;310;97;13;1;1360;5;63;295;28;15;Lurker;Grayhound
m0NESY;2874;2215;1.3;0.76;1896;659;512;284;1.8;1.22;0.777;0.191;1891;1168;530;151;42;5;832;1518;39;468;18;11;AWP;G2
Maden;2883;2987;0.97;0.66;1997;-104;444;496;0.9;0.98;0.732;0.141;2385;1326;498;135;34;4;2181;27;202;431;44;11;Entry;ENCE
Magisk;2692;2481;1.09;0.68;1831;211;378;392;0.96;0.98;0.7509999999999999;0.132;2114;1164;499;143;24;1;2152;34;58;407;38;17;Support;Vitality
magixx;2379;2195;1.08;0.63;1674;184;305;305;1.0;0.94;0.77;0.11800000000000001;2079;1132;407;107;28;0;1837;85;119;307;30;13;Lurker;Spirit
MAJ3R;2510;2867;0.88;0.57;1783;-357;374;424;0.88;0.93;0.706;0.11199999999999999;2631;1213;444;100;21;5;1649;166;272;362;61;7;IGL;Eternal Fire
mantuu;1111;1011;1.1;0.67;761;100;205;114;1.8;1.17;0.741;0.17800000000000002;904;493;201;53;13;1;247;687;28;138;6;14;AWP;BIG
Martinez;2790;2377;1.17;0.7;1892;413;503;280;1.8;1.18;0.736;0.193;2114;1218;500;131;36;7;625;1638;84;429;13;12;AWP;Movistar Riders
max;2419;2664;0.91;0.6;1717;-245;469;591;0.79;1.0;0.742;0.165;2316;1162;427;109;19;0;1812;17;202;364;29;8;IGL;9z
Mercury;2465;2262;1.09;0.73;1668;203;493;454;1.09;1.17;0.759;0.207;1724;1065;441;134;24;4;1985;2;88;374;17;10;Rifler;TYLOO
mezii;2575;2479;1.04;0.67;1752;96;324;322;1.01;0.95;0.679;0.115;2081;1134;443;148;24;3;1964;25;130;421;38;10;Lurker;fnatic
mir;1429;1299;1.1;0.7;969;130;220;164;1.34;1.07;0.755;0.151;1070;609;275;71;13;1;1171;16;61;161;20;8;Rifler;Virtus.pro
mopoz;2498;2758;0.91;0.62;1695;-260;410;518;0.79;0.96;0.6829999999999999;0.146;2311;1100;420;144;29;2;1897;32;204;333;25;36;Entry;Movistar Riders
Moseyuh;2364;2115;1.12;0.73;1598;249;400;357;1.12;1.1;0.73;0.172;1630;1011;438;124;20;5;1824;34;129;355;25;3;Rifler;TYLOO
mynio;4701;5520;0.85;0.59;3340;-819;685;916;0.75;0.91;0.736;0.12;4610;2256;849;197;34;4;3661;39;236;666;102;12;IGL;9INE
n0rb3r7;902;951;0.95;0.6;636;-49;120;153;0.78;0.89;0.7170000000000001;0.107;878;421;169;41;5;0;695;4;51;144;8;3;Rifler;Virtus.pro
NAF;2652;2345;1.13;0.68;1866;307;258;205;1.26;0.91;0.767;0.10099999999999999;2038;1252;467;125;19;3;2058;57;121;379;44;13;Rifler;Liquid
nafany;2692;3139;0.86;0.61;1912;-447;497;687;0.72;0.97;0.746;0.156;2529;1293;482;117;16;4;1969;27;262;393;38;11;IGL;BetBoom
nawwk;5243;4052;1.29;0.71;3610;1191;625;388;1.61;1.0;0.723;0.11599999999999999;3766;2334;976;247;49;4;1924;2387;80;810;47;25;AWP;Apeks
NertZ;3852;3359;1.15;0.75;2511;493;686;511;1.34;1.17;0.743;0.18899999999999997;2622;1538;685;219;58;11;3040;43;253;482;34;14;Rifler;ENCE
NickelBack;3414;3695;0.92;0.62;2415;-281;519;603;0.86;0.96;0.73;0.13;3079;1622;613;156;22;2;2603;40;177;508;85;13;Rifler;1WIN
niko;2140;2286;0.94;0.62;1480;-146;289;398;0.73;0.89;0.758;0.127;1945;963;395;105;13;4;1631;18;147;316;21;20;Lurker;00NATION
NiKo;2874;2367;1.21;0.76;1882;507;535;438;1.22;1.18;0.763;0.195;1905;1144;531;164;39;4;2245;42;48;497;42;27;Entry;G2
olofmeister;301;243;1.24;0.78;210;58;41;30;1.37;1.07;0.7070000000000001;0.141;174;138;56;14;1;1;225;30;4;38;3;2;Lurker;FaZe
oSee;2556;2315;1.1;0.65;1769;241;377;285;1.32;1.03;0.74;0.142;2135;1162;450;135;21;1;834;1323;19;361;21;14;AWP;Liquid
Patsi;2177;2295;0.95;0.68;1467;-118;441;470;0.94;1.11;0.73;0.204;1723;936;378;128;24;1;1734;47;56;315;26;14;Rifler;Liquid
pauliiee;731;699;1.05;0.67;518;32;94;82;1.15;0.97;0.745;0.11900000000000001;578;352;130;25;11;0;577;2;30;116;6;5;Rifler;BIG EQUIPA
Peppzor;4885;4955;0.99;0.68;3286;-70;704;706;1.0;0.99;0.727;0.14400000000000002;3896;2089;865;269;56;7;3729;87;214;769;78;33;Support;EYEBALLERS
Perfecto;2348;2233;1.05;0.64;1655;115;240;231;1.04;0.89;0.7829999999999999;0.1;2016;1107;421;109;18;0;1736;35;117;405;57;13;Rifler;Cloud9
prosus;4340;4317;1.01;0.69;2960;23;818;721;1.13;1.13;0.726;0.185;3314;1916;769;221;47;7;3317;26;246;699;53;24;Entry;BIG
rain;2579;2644;0.98;0.66;1760;-65;504;508;0.99;1.1;0.7879999999999999;0.195;2131;1138;452;145;23;2;1989;4;84;468;36;13;Support;FaZe
Rainwaker;4573;4087;1.12;0.7;3069;486;567;514;1.1;0.97;0.67;0.11599999999999999;3472;1920;849;247;51;2;3586;33;183;701;72;28;Rifler;Liquid
REZ;2713;2602;1.04;0.65;1857;111;370;374;0.99;0.96;0.695;0.12300000000000001;2311;1217;466;137;32;5;2042;131;75;435;32;19;Rifler;Ninjas in Pyjamas
roeJ;2458;2613;0.94;0.65;1683;-155;494;552;0.89;1.08;0.682;0.18;2072;1087;450;119;21;6;1943;3;97;389;23;15;Entry;fnatic
ropz;3018;2470;1.22;0.74;2022;548;416;326;1.28;1.05;0.728;0.141;2038;1262;559;168;31;2;2310;102;162;427;19;7;Lurker;FaZe
s1mple;2739;2229;1.23;0.76;1828;510;464;297;1.56;1.17;0.731;0.18100000000000002;1794;1134;515;148;24;7;1033;1148;48;448;24;55;AWP;Natus Vincere
s1n;4497;4319;1.04;0.68;3066;178;637;659;0.97;0.98;0.735;0.138;3573;1935;868;227;35;1;3371;105;182;770;71;15;Support;BIG
s1ren;2026;1952;1.04;0.66;1398;74;237;279;0.85;0.9;0.73;0.11;1675;922;346;110;18;2;1583;9;51;368;16;11;Rifler;BetBoom
saffee;2289;1987;1.15;0.69;1577;302;371;226;1.64;1.11;0.733;0.16;1740;1029;407;119;21;1;718;1214;47;300;12;12;AWP;MIBR
Sapec;5301;5649;0.94;0.66;3624;-348;987;1058;0.93;1.06;0.713;0.179;4356;2317;993;261;50;3;4287;30;157;742;88;28;Entry;EYEBALLERS
sdy;6002;5423;1.11;0.7;4144;579;808;746;1.08;0.99;0.752;0.132;4421;2716;1071;287;67;3;4467;221;339;870;65;63;IGL;Monte
sense;1425;1424;1.0;0.7;951;1;200;220;0.91;0.98;0.67;0.14;1098;580;283;74;13;1;1060;17;88;237;21;10;IGL;Apeks
sh1ro;3566;2482;1.44;0.79;2373;1084;474;238;1.99;1.1;0.772;0.154;2132;1493;611;227;40;2;994;1878;129;517;57;27;AWP;Cloud9
SHiNE;4861;5461;0.89;0.6;3442;-600;566;693;0.82;0.87;0.737;0.10400000000000001;4676;2353;818;215;53;3;3646;38;355;729;94;29;IGL;EYEBALLERS
Sico;1579;1802;0.88;0.6;1147;-223;201;203;0.99;0.92;0.7609999999999999;0.11199999999999999;1502;802;272;59;14;0;1069;110;98;260;45;4;Rifler;Grayhound
siuhy;3239;3342;0.97;0.66;2258;-103;513;594;0.86;0.99;0.778;0.153;2643;1487;590;153;27;1;2589;13;158;442;37;18;IGL;MOUZ
sjuush;2787;2734;1.02;0.66;1942;53;366;382;0.96;0.95;0.7759999999999999;0.12300000000000001;2307;1290;494;127;27;4;2077;38;223;402;48;9;Support;Heroic
Snappi;2643;3065;0.86;0.59;1898;-422;422;498;0.85;0.95;0.7609999999999999;0.13699999999999998;2562;1320;436;119;21;2;1795;34;363;410;42;12;IGL;ENCE
Snax;4397;4491;0.98;0.65;3073;-94;696;750;0.93;1.0;0.675;0.141;3652;2024;821;189;31;8;3061;286;352;575;76;65;IGL;GamerLegion
Spinx;2789;2395;1.16;0.72;1897;394;390;333;1.17;1.03;0.759;0.141;1966;1200;531;138;27;1;2253;34;103;369;28;13;Lurker;Vitality
Staehr;3923;3857;1.02;0.67;2709;66;670;627;1.07;1.06;0.7340000000000001;0.165;3126;1775;702;186;44;2;3039;38;197;595;53;29;Rifler;Astralis
Starry;2758;2381;1.16;0.74;1803;377;429;374;1.15;1.08;0.746;0.162;1915;1100;500;160;37;6;2214;33;42;440;31;22;Rifler;Lynn Vision
stavn;2998;2655;1.13;0.74;2032;343;440;353;1.25;1.06;0.732;0.145;2044;1274;580;151;24;3;2392;90;69;401;52;11;Rifler;Heroic
STYKO;4328;4555;0.95;0.62;3042;-227;565;669;0.84;0.91;0.733;0.11199999999999999;3930;2048;749;200;43;2;3232;80;229;739;45;21;Rifler;Apeks
SunPayus;3122;2503;1.25;0.71;2114;619;547;343;1.59;1.16;0.722;0.172;2268;1347;568;158;40;1;961;1591;57;482;30;16;AWP;ENCE
susp;2724;2660;1.02;0.69;1841;64;440;515;0.85;1.01;0.68;0.153;2083;1174;487;147;30;3;2125;19;110;448;27;8;Entry;00NATION
syrsoN;1511;1306;1.16;0.71;1019;205;294;188;1.56;1.21;0.755;0.21100000000000002;1100;667;244;80;24;4;187;1027;64;216;17;5;AWP;00NATION
tabseN;4277;4484;0.95;0.66;2889;-207;689;788;0.87;1.0;0.72;0.151;3570;1863;737;224;57;8;3303;96;144;667;70;13;IGL;BIG
TeSeS;2829;2786;1.02;0.67;1974;43;461;480;0.96;1.02;0.735;0.147;2275;1305;508;139;19;3;2197;9;172;425;32;5;Entry;Heroic
torzsi;2210;1813;1.22;0.69;1526;397;363;210;1.73;1.12;0.763;0.162;1687;1002;389;114;17;4;529;1270;63;334;19;15;AWP;MOUZ
TRAVIS;3821;3419;1.12;0.7;2587;402;563;503;1.12;1.03;0.753;0.146;2880;1669;652;220;42;4;2956;9;200;595;54;21;Rifler;1WIN
try;3134;2544;1.23;0.73;2081;590;531;322;1.65;1.16;0.7040000000000001;0.166;2222;1305;555;170;46;5;919;1671;38;483;26;19;AWP;9z
Twistzz;2813;2551;1.1;0.69;1892;262;376;342;1.1;0.99;0.745;0.13;2192;1216;478;156;37;5;2217;58;96;401;42;11;Entry;FaZe
Vexite;1816;1841;0.99;0.69;1224;-25;344;343;1.0;1.1;0.695;0.175;1425;784;321;91;23;5;1370;16;101;308;22;12;Rifler;Grayhound
volt;4088;3980;1.03;0.66;2786;108;595;611;0.97;0.98;0.691;0.134;3377;1795;726;221;42;2;3224;77;138;609;40;16;Rifler;GamerLegion
Walco;3183;3460;0.92;0.62;2215;-277;510;617;0.83;0.96;0.759;0.139;2958;1476;552;150;32;5;2440;27;201;458;60;17;IGL;Evil Geniuses
Westmelon;2665;2495;1.07;0.72;1763;170;464;434;1.07;1.1;0.731;0.172;1955;1086;488;157;28;4;2068;3;145;420;29;14;IGL;Lynn Vision
Wicadia;2379;2366;1.01;0.7;1557;13;357;393;0.91;1.0;0.7390000000000001;0.149;1856;953;421;151;29;3;1735;45;199;370;29;13;Rifler;Eternal Fire
